nretweets,srclng,srclat,dstlng,dstlat
60,-8.395835,43.3708731,-3.7003454,40.4166909
59,-0.1276831,51.5073346,18.06491,59.32893
59,-84.7227071,39.0841968,-74.0059731,40.7143528
59,-3.7003454,40.4166909,-74.0758333,4.5980556
58,6.1422961,46.1983922,-119.4179324,36.778261
58,-74.0059731,40.7143528,-99.133208,19.4326077
58,6.1422961,46.1983922,10.451526,51.165691
58,-51.92528,-14.235004,-43.2095869,-22.9035393
58,-0.1276831,51.5073346,-119.4179324,36.778261
57,2.3522219,48.856614,4.835659,45.764043
57,-8.24389,53.41291,-6.2600825,53.3494426
57,-0.1276831,51.5073346,-102.4107493,34.2331373
57,-3.7003454,40.4166909,-16.6291304,28.2915637
57,-71.542969,-35.675147,-71.542969,-35.675147
57,-66.58973,6.42375,-66.58973,6.42375
56,103.819836,1.352083,103.819836,1.352083
56,-2.247926,53.479251,-4.2026458,56.4906712
56,-84.7227071,39.0841968,-1.1743197,52.3555177
55,-2.9234409,43.2569629,2.1699187,41.387917
55,-3.7003454,40.4166909,-8.395835,43.3708731
55,-122.4194155,37.7749295,-0.1276831,51.5073346
55,-0.1276831,51.5073346,55.307485,25.271139
55,-4.7283811,41.6529434,-3.7003454,40.4166909
54,6.1422961,46.1983922,9.186516,45.4654542
54,-46.6388182,-23.5489433,-51.2287346,-30.0277041
54,-0.1276831,51.5073346,0.6673665,51.7659078
54,-0.3768049,39.4702393,-0.3768049,39.4702393
54,-0.1276831,51.5073346,2.1699187,41.387917
54,49.1053247,36.1507319,-0.1276831,51.5073346
53,-5.9962951,37.38264,-5.9962951,37.38264
53,10.7522454,59.9138688,10.7522454,59.9138688
53,-66.58973,6.42375,-66.902061,10.491016
53,-0.1276831,51.5073346,23.7293097,37.9837155
53,-102.1732882,31.9524799,-74.0059731,40.7143528
53,12.4607737,41.9015141,9.186516,45.4654542
53,6.1422961,46.1983922,-77.0363658,38.8951118
53,-2.247926,53.479251,-1.548567,53.801279
52,-58.3815931,-34.6037232,-58.3815931,-34.6037232
52,-3.7003454,40.4166909,-0.1276831,51.5073346
52,-0.1276831,51.5073346,153.0235024,-27.4709331
52,-3.7003454,40.4166909,-71.542969,-35.675147
52,-0.1276831,51.5073346,5.291266,52.132633
52,-3.7003454,40.4166909,-8.5463034,42.8804471
52,-3.435973,55.378051,144.9630556,-37.8136111
51,-2.247926,53.479251,-4.251806,55.864237
51,-2.247926,53.479251,-2.58791,51.454513
51,77.5945627,12.9715987,72.8776559,19.0759837
51,-3.7003454,40.4166909,-5.9832577,43.2504393
51,-0.1276831,51.5073346,-71.0597732,42.3584308
51,-16.7246398,28.1218455,-3.7003454,40.4166909
51,6.1422961,46.1983922,-3.188267,55.953252
51,-2.247926,53.479251,144.9630556,-37.8136111
50,-0.1276831,51.5073346,-71.1097335,42.3736158
50,-0.5249038,38.3960999,-3.7003454,40.4166909
50,-0.1276831,51.5073346,-1.0818995,53.9622908
50,-0.1276831,51.5073346,4.8951679,52.3702157
50,-74.0059731,40.7143528,-102.552784,23.634501
50,6.1422961,46.1983922,-4.251806,55.864237
50,-0.1276831,51.5073346,18.4240553,-33.9248685
49,77.22496,28.635308,77.5945627,12.9715987
49,9.186516,45.4654542,12.4607737,41.9015141
49,12.56738,41.87194,12.56738,41.87194
49,-0.1276831,51.5073346,10.451526,51.165691
49,6.1422961,46.1983922,12.4607737,41.9015141
48,6.1422961,46.1983922,77.5945627,12.9715987
48,133.775136,-25.274398,133.775136,-25.274398
48,-3.7003454,40.4166909,-77.0622028,-12.0478158
48,6.1422961,46.1983922,-2.58791,51.454513
47,-77.0363658,38.8951118,-0.1276831,51.5073346
47,-0.1276831,51.5073346,115.8573389,-31.9528536
47,-123.1139268,49.261226,-123.1139268,49.261226
47,2.213749,46.227638,2.3522219,48.856614
47,-118.2436849,34.0522342,-0.1276831,51.5073346
47,-6.2600825,53.3494426,-0.1276831,51.5073346
47,13.003822,55.604981,72.8776559,19.0759837
47,6.1422961,46.1983922,72.8776559,19.0759837
47,-46.6388182,-23.5489433,-49.2732515,-25.4283563
47,-83.0457538,42.331427,-83.0457538,42.331427
46,-3.7003454,40.4166909,2.649966,39.5695059
46,-74.0059731,40.7143528,-122.3320708,47.6062095
46,6.1422961,46.1983922,-73.5539925,45.5086699
46,-0.1276831,51.5073346,10.7522454,59.9138688
46,-122.6762071,45.5234515,-0.1276831,51.5073346
46,13.4060912,52.519171,13.4060912,52.519171
45,6.1422961,46.1983922,8.5391825,47.3686498
45,77.22496,28.635308,78.96288,20.593684
45,6.1422961,46.1983922,8.227512,46.818188
45,-89.3985283,40.6331249,12.56738,41.87194
45,-74.0059731,40.7143528,-71.0597732,42.3584308
45,-74.0059731,40.7143528,144.9630556,-37.8136111
45,-0.1276831,51.5073346,13.4060912,52.519171
45,-0.1276831,51.5073346,-114.057141,51.045113
45,-77.0363658,38.8951118,-95.712891,37.09024
45,-3.435973,55.378051,-106.346771,56.130366
45,-2.247926,53.479251,-1.470085,53.381129
44,-74.0059731,40.7143528,103.819836,1.352083
44,-3.74922,40.463667,-70.641997,-33.4691199
44,-74.0059731,40.7143528,-74.4056612,40.0583238
44,4.8951679,52.3702157,5.291266,52.132633
44,77.5945627,12.9715987,77.5945627,12.9715987
44,-77.0622028,-12.0478158,-77.0622028,-12.0478158
43,77.5945627,12.9715987,78.96288,20.593684
43,-77.0363658,38.8951118,-87.6297982,41.8781136
43,-6.2600825,53.3494426,-8.24389,53.41291
43,-2.247926,53.479251,-3.7837117,52.1306607
43,-3.435973,55.378051,2.1699187,41.387917
43,-2.58791,51.454513,-2.58791,51.454513
43,-3.74922,40.463667,-4.7283811,41.6529434
43,78.96288,20.593684,78.96288,20.593684
43,-0.1276831,51.5073346,-4.1360198,50.3719165
43,-74.0059731,40.7143528,-99.9018131,31.9685988
43,-3.435973,55.378051,-87.6297982,41.8781136
43,-51.2287346,-30.0277041,-51.2287346,-30.0277041
42,-5.9962951,37.38264,-3.7003454,40.4166909
42,6.1422961,46.1983922,-77.0622028,-12.0478158
42,6.1422961,46.1983922,-1.61778,54.978252
42,-2.247926,53.479251,-1.255285,51.751724
42,-84.7227071,39.0841968,-99.133208,19.4326077
42,-84.7227071,39.0841968,-6.2600825,53.3494426
42,-66.902061,10.491016,-66.902061,10.491016
42,-3.7003454,40.4166909,-58.3815931,-34.6037232
42,-3.7003454,40.4166909,-0.6952196,38.2671765
42,-3.7003454,40.4166909,-66.902061,10.491016
42,6.1422961,46.1983922,32.85411,39.92077
42,-0.1276831,51.5073346,9.186516,45.4654542
42,6.1422961,46.1983922,4.469936,50.503887
42,-0.1276831,51.5073346,-75.6971931,45.4215296
41,-3.7003454,40.4166909,-101.680496,21.123619
41,72.8776559,19.0759837,78.96288,20.593684
41,6.1422961,46.1983922,37.6154009,55.7427928
41,-74.0059731,40.7143528,-75.163789,39.952335
41,6.1422961,46.1983922,-122.3320708,47.6062095
41,16.386398,48.1392831,28.97696,41.00527
41,28.0473051,-26.2041028,28.0473051,-26.2041028
41,6.1422961,46.1983922,-2.0853567,53.3570177
41,-3.7003454,40.4166909,-6.9701831,38.8785459
41,-0.1276831,51.5073346,1.297355,52.6308859
41,-0.1276831,51.5073346,-58.3815931,-34.6037232
41,-3.7177394,40.4381655,-5.9962951,37.38264
41,-73.95,40.65,-74.0059731,40.7143528
41,-71.0597732,42.3584308,-71.0597732,42.3584308
41,-74.0059731,40.7143528,-84.3879824,33.7489954
40,27.12872,38.41885,28.97696,41.00527
40,-2.247926,53.479251,133.775136,-25.274398
40,6.1422961,46.1983922,77.22496,28.635308
40,-58.3815931,-34.6037232,-63.616672,-38.416097
40,-0.1276831,51.5073346,-46.6388182,-23.5489433
40,6.1422961,46.1983922,-51.92528,-14.235004
40,-3.74922,40.463667,-0.8799101,41.6568307
40,-2.247926,53.479251,-5.9340683,54.5974433
40,-0.1276831,51.5073346,22.937506,-30.559482
39,5.291266,52.132633,5.291266,52.132633
39,-3.7003454,40.4166909,-2.6716351,42.8467181
39,-46.6388182,-23.5489433,-34.8812561,-8.0542775
39,-0.1276831,51.5073346,12.56738,41.87194
39,-0.1276831,51.5073346,-1.519693,52.406822
39,-74.297333,4.570868,-74.0758333,4.5980556
39,-2.247926,53.479251,-1.158086,52.95477
39,-46.6388182,-23.5489433,-43.9385747,-19.9190677
39,-91.8479332,37.6658757,-0.1276831,51.5073346
38,-0.1276831,51.5073346,15.2551187,54.5259614
38,-3.74922,40.463667,-66.58973,6.42375
38,-0.1485329,51.5144533,-0.1276831,51.5073346
38,78.96288,20.593684,72.8776559,19.0759837
38,-74.0059731,40.7143528,-106.346771,56.130366
38,-74.0059731,40.7143528,-73.5539925,45.5086699
38,-0.1276831,51.5073346,28.0473051,-26.2041028
38,-3.435973,55.378051,2.3522219,48.856614
38,-74.0059731,40.7143528,151.2068896,-33.873651
38,-3.7003454,40.4166909,-66.58973,6.42375
38,1.777619,50.470632,2.213749,46.227638
38,-0.1276831,51.5073346,-1.4043509,50.9097004
38,-105.2705456,40.0149856,-122.4194155,37.7749295
37,-0.1276831,51.5073346,2.213749,46.227638
37,-84.7227071,39.0841968,-3.7003454,40.4166909
37,140.0766423,36.0834857,139.6917064,35.6894875
37,-0.1276831,51.5073346,-1.1397592,52.6368778
37,-3.7003454,40.4166909,-4.7791269,37.8847225
37,-2.247926,53.479251,-1.61778,54.978252
37,-0.1276831,51.5073346,-6.4923145,54.7877149
37,151.2068896,-33.873651,153.0235024,-27.4709331
37,6.1422961,46.1983922,-8.24389,53.41291
37,6.1422961,46.1983922,-46.6388182,-23.5489433
37,6.1422961,46.1983922,-1.548567,53.801279
37,-3.435973,55.378051,-122.4194155,37.7749295
37,-3.7003454,40.4166909,1.5208624,41.5911589
37,-0.1276831,51.5073346,-70.641997,-33.4691199
36,-3.74922,40.463667,-3.5979291,37.1764874
36,-122.4194155,37.7749295,-74.0059731,40.7143528
36,-74.0758333,4.5980556,-74.297333,4.570868
36,6.1422961,46.1983922,-4.2026458,56.4906712
36,2.3522219,48.856614,1.444209,43.604652
36,-74.0059731,40.7143528,-97.7430608,30.267153
36,-74.0059731,40.7143528,2.3522219,48.856614
36,6.1422961,46.1983922,-71.0597732,42.3584308
36,18.06491,59.32893,18.643501,60.128161
36,-0.1276831,51.5073346,-2.3599039,51.375801
36,-3.435973,55.378051,-2.58791,51.454513
36,-74.0059731,40.7143528,-102.4107493,34.2331373
36,-3.74922,40.463667,-74.0758333,4.5980556
36,2.1699187,41.387917,1.5208624,41.5911589
36,6.1422961,46.1983922,-97.7430608,30.267153
36,6.1422961,46.1983922,18.643501,60.128161
36,-122.3320708,47.6062095,-122.3320708,47.6062095
36,32.85411,39.92077,35.243322,38.963745
36,-2.247926,53.479251,10.7522454,59.9138688
36,6.1422961,46.1983922,126.9779692,37.566535
36,-3.7003454,40.4166909,-80.782127,8.537981
36,-4.7283811,41.6529434,-4.7283811,41.6529434
